,job,job_link,company,company_link
0,Field Coordinator (national position),https://www.jobsnepal.com/job/field-coordinator-national-position/115606,Winrock International-Hamro Samman,https://www.jobsnepal.com/employer/winrock-international-hamro-samman/8360
1,CTIP Coordinator (national position),https://www.jobsnepal.com/job/ctip-coordinator-national-position/115609,Winrock International-Hamro Samman,https://www.jobsnepal.com/employer/winrock-international-hamro-samman/8360
2,डोटेली कलाकारहरुको आवश्यकता,https://www.jobsnepal.com/job/equal-access/115612,Equal Access,https://www.jobsnepal.com/employer/equal-access/1157
3,Warehouse Manager/ Assistant Manager/ Warehouse Supervisor,https://www.jobsnepal.com/job/warehouse-manager-assistant-manager-warehouse-supervisor/115611,Galaxy Incorporation,https://www.jobsnepal.com/employer/galaxy-incorporation/11692
4,Department In-charge,https://www.jobsnepal.com/job/department-in-charge/115610,Galaxy Incorporation,https://www.jobsnepal.com/employer/galaxy-incorporation/11692
5,Finance Associate,https://www.jobsnepal.com/job/finance-associate/115605,ANSAB,https://www.jobsnepal.com/employer/ansab/1860
6,Veterinary Officer,https://www.jobsnepal.com/job/veterinary-officer/115604,Donkey Sanctuary & Brooke,https://www.jobsnepal.com/employer/donkey-sanctuary-brooke/11498
7,Request for Quotation,https://www.jobsnepal.com/job/request-for-quotation/115603,S.W. Nepal Pvt. Ltd.,https://www.jobsnepal.com/employer/s-w-nepal-pvt-ltd/10018
8,Software Engineer (AI Specialist),https://www.jobsnepal.com/job/software-engineer-ai-specialist/115602,Bent Ray Technologies,https://www.jobsnepal.com/employer/bent-ray-technologies/6360
9,ASP.NET Programmer,https://www.jobsnepal.com/job/asp-net-programmer/115601,Bent Ray Technologies,https://www.jobsnepal.com/employer/bent-ray-technologies/6360
10,iOS Developers,https://www.jobsnepal.com/job/ios-developers/115600,SmartMobe Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/smartmobe-solutions-pvt-ltd/8070
11,Sr. PHP Programmer,https://www.jobsnepal.com/job/sr-php-programmer/115599,Bent Ray Technologies,https://www.jobsnepal.com/employer/bent-ray-technologies/6360
12,Sales Associates/ Cashier,https://www.jobsnepal.com/job/sales-associates-cashier/115607,Galaxy Incorporation,https://www.jobsnepal.com/employer/galaxy-incorporation/11692
13,Retail Store Manager/ Asst. Manager,https://www.jobsnepal.com/job/retail-store-manager-asst-manager/115608,Galaxy Incorporation,https://www.jobsnepal.com/employer/galaxy-incorporation/11692
14,Senior QA Analyst,https://www.jobsnepal.com/job/senior-qa-analyst/115598,Synergy Info Systems (SIS),https://www.jobsnepal.com/employer/synergy-info-systems-sis/1303
15,Implementation Coordinator,https://www.jobsnepal.com/job/implementation-coordinator/115597,TPO Nepal,https://www.jobsnepal.com/employer/tpo-nepal/1854
